tcp        0      1 127.0.0.1:54418         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54420         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54422         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54424         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54426         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54428         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54430         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54432         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54434         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54436         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54438         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54440         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54442         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54444         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54446         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54448         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54450         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54452         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54454         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54456         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54458         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54460         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54462         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54464         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54466         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54468         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54470         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54472         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54474         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54476         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54478         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54480         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54482         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54484         127.0.0.1:12344         SYN_SENT   
